participant,day,scale,score
4,37,pos_aff,3.6
4,37,neg_aff,0.2
4,38,stress,0
4,38,pos_aff,3.2
4,38,neg_aff,0
4,39,stress,3
4,39,pos_aff,2.4
4,39,neg_aff,1.4
4,40,stress,1
4,40,pos_aff,1.6
4,40,neg_aff,2.8
4,41,stress,NA
4,41,pos_aff,NA
4,41,neg_aff,NA
4,42,stress,0
4,42,pos_aff,NA
4,42,neg_aff,NA
4,43,stress,0
4,43,pos_aff,3.4
4,43,neg_aff,0.4
4,44,stress,NA
4,44,pos_aff,NA
4,44,neg_aff,NA
4,45,stress,0
4,45,pos_aff,3.4
4,45,neg_aff,0
4,46,stress,2
4,46,pos_aff,2.6
4,46,neg_aff,0.2
4,47,stress,1
4,47,pos_aff,3
4,47,neg_aff,0
4,48,stress,NA
4,48,pos_aff,NA
4,48,neg_aff,NA
4,49,stress,NA
4,49,pos_aff,NA
4,49,neg_aff,NA
4,50,stress,0
4,50,pos_aff,3.6
4,50,neg_aff,0
4,51,stress,NA
4,51,pos_aff,NA
4,51,neg_aff,NA
4,52,stress,NA
4,52,pos_aff,NA
4,52,neg_aff,NA
4,53,stress,2
4,53,pos_aff,3
4,53,neg_aff,0
4,54,stress,1
4,54,pos_aff,3.4
4,54,neg_aff,0
4,55,stress,6
4,55,pos_aff,2.6
4,55,neg_aff,0
4,56,stress,0
4,56,pos_aff,2.4
4,56,neg_aff,0.6
4,57,stress,2
4,57,pos_aff,3.4
4,57,neg_aff,0
4,58,stress,0
4,58,pos_aff,2.6
4,58,neg_aff,1
4,59,stress,4
4,59,pos_aff,3.2
4,59,neg_aff,1.4
4,60,stress,2
4,60,pos_aff,2.6
4,60,neg_aff,0.4
4,61,stress,3
4,61,pos_aff,3
4,61,neg_aff,0.8
4,62,stress,NA
4,62,pos_aff,NA
4,62,neg_aff,NA
4,63,stress,NA
4,63,pos_aff,NA
4,63,neg_aff,NA
4,64,stress,2
4,64,pos_aff,3.6
4,64,neg_aff,0.4
4,65,stress,NA
4,65,pos_aff,NA
4,65,neg_aff,NA
4,66,stress,1
4,66,pos_aff,NA
4,66,neg_aff,NA
4,67,stress,0
4,67,pos_aff,2.6
4,67,neg_aff,0
4,68,stress,NA
4,68,pos_aff,NA
4,68,neg_aff,NA
4,69,stress,4
4,69,pos_aff,0.8
4,69,neg_aff,0.8
4,70,stress,NA
4,70,pos_aff,NA
4,70,neg_aff,NA
4,71,stress,NA
4,71,pos_aff,NA
4,71,neg_aff,NA
4,72,stress,2
4,72,pos_aff,2.2
4,72,neg_aff,0.2
4,73,stress,NA
4,73,pos_aff,NA
4,73,neg_aff,NA
4,74,stress,NA
4,74,pos_aff,NA
4,74,neg_aff,NA
4,75,stress,NA
4,75,pos_aff,NA
4,75,neg_aff,NA
4,76,stress,NA
4,76,pos_aff,NA
4,76,neg_aff,NA
4,77,stress,NA
4,77,pos_aff,NA
4,77,neg_aff,NA
4,78,stress,NA
4,78,pos_aff,NA
4,78,neg_aff,NA
4,79,stress,NA
4,79,pos_aff,NA
4,79,neg_aff,NA
4,80,stress,NA
4,80,pos_aff,NA
4,80,neg_aff,NA
4,81,stress,1
4,81,pos_aff,3.6
4,81,neg_aff,1
4,82,stress,NA
4,82,pos_aff,NA
4,82,neg_aff,NA
4,83,stress,NA
4,83,pos_aff,NA
4,83,neg_aff,NA
4,84,stress,NA
4,84,pos_aff,NA
4,84,neg_aff,NA
4,85,stress,NA
4,85,pos_aff,NA
4,85,neg_aff,NA
4,86,stress,NA
4,86,pos_aff,NA
4,86,neg_aff,NA
4,87,stress,NA
4,87,pos_aff,NA
4,87,neg_aff,NA
4,88,stress,NA
4,88,pos_aff,NA
4,88,neg_aff,NA
4,89,stress,NA
4,89,pos_aff,NA
4,89,neg_aff,NA
4,90,stress,NA
4,90,pos_aff,NA
4,90,neg_aff,NA
4,91,stress,NA
4,91,pos_aff,NA
4,91,neg_aff,NA
4,92,stress,3
4,92,pos_aff,2.8
4,92,neg_aff,0.8
4,93,stress,NA
4,93,pos_aff,NA
4,93,neg_aff,NA
4,94,stress,NA
