Subject,Sex,Task,Amused,Afraid,Pained,Embarrassed
104,M,A,2,0,0,0
104,M,B,3,0,0,2
104,M,C,2,0,0,0
104,M,D,0,0,4,0
105,M,A,3,0,0,0
105,M,B,0,0,0,3
105,M,C,0,4,0,0
105,M,D,0,0,4,0
106,M,A,3,0,0,0
106,M,B,0,0,0,1
106,M,C,1,0,0,0
106,M,D,0,0,3,0
107,M,A,3,0,0,0
107,M,B,2,0,0,3
107,M,C,3,2,0,0
107,M,D,0,0,1,0
108,M,A,3,0,0,2
108,M,B,0,0,0,4
108,M,C,0,4,0,0
108,M,D,0,0,5,0
109,M,A,3,0,0,0
109,M,B,0,0,0,5
109,M,C,0,4,0,0
109,M,D,0,5,5,0
110,M,A,4,0,0,0
110,M,B,2,0,0,4
110,M,C,0,3,0,0
110,M,D,0,0,5,0
111,M,A,1,0,0,0
111,M,B,0,0,0,3
111,M,C,1,0,0,0
111,M,D,0,0,3,0
112,M,A,0,0,0,0
112,M,B,0,0,0,2
112,M,C,0,4,0,0
112,M,D,0,4,5,0
113,M,A,2,0,0,0
113,M,B,2,0,0,3
113,M,C,4,0,0,0
113,M,D,0,0,3,0
114,M,A,5,0,0,0
114,M,B,5,0,0,0
114,M,C,2,3,0,0
114,M,D,0,0,4,0
115,M,A,4,0,0,0
115,M,B,1,0,0,2
115,M,C,0,4,0,0
115,M,D,0,0,5,0
116,M,A,2,0,0,0
116,M,B,2,0,0,2
116,M,C,2,0,0,0
116,M,D,0,0,3,0
117,M,A,3,0,0,0
117,M,B,1,0,0,4
117,M,C,0,3,0,0
117,M,D,0,0,4,0
118,M,A,4,0,0,0
118,M,B,0,0,0,5
118,M,C,0,0,0,0
118,M,D,0,0,4,0
119,M,A,3,0,0,0
119,M,B,1,1,0,4
119,M,C,0,0,0,0
119,M,D,0,0,3,0
120,M,A,0,0,0,0
120,M,B,1,0,0,3
120,M,C,0,4,0,0
120,M,D,0,0,3,0
121,M,A,2,0,0,2
121,M,B,0,0,0,4
121,M,C,3,2,0,0
121,M,D,0,0,4,0
122,M,A,3,0,0,0
122,M,B,0,0,0,3
122,M,C,0,3,0,0
122,M,D,0,0,4,0
123,M,A,2,0,0,0
123,M,B,0,0,0,0
123,M,C,3,0,0,0
123,M,D,2,0,0,0
124,M,A,2,0,0,0
124,M,B,0,0,0,1
124,M,C,0,1,0,0
124,M,D,0,0,2,0
125,M,A,4,0,0,0
125,M,B,2,0,0,4
125,M,C,0,4,0,0
125,M,D,0,0,4,0
126,M,A,4,0,0,0
126,M,B,0,0,0,4
126,M,C,0,4,0,0
126,M,D,0,0,5,0
127,M,A,3,0,0,0
127,M,B,3,0,0,4
127,M,C,0,2,0,0
127,M,D,0,0,3,0
128,M,A,3,0,0,0
128,M,B,0,0,0,5
128,M,C,0,0,0,0
128,M,D,0,0,5,0
129,M,A,3,0,0,0
129,M,B,0,0,0,3
129,M,C,0,3,0,0
129,M,D,0,0,3,0
130,M,A,3,0,0,0
130,M,B,0,0,0,3
130,M,C,0,4,0,0
130,M,D,0,0,5,0
131,M,A,3,0,0,0
131,M,B,0,0,0,4
131,M,C,0,1,0,0
131,M,D,0,0,4,0
132,M,A,1,0,0,0
132,M,B,2,0,0,2
132,M,C,0,1,0,0
132,M,D,0,0,2,0
133,M,A,4,0,0,0
133,M,B,0,3,0,4
133,M,C,0,0,0,0
133,M,D,0,0,5,0
134,M,A,4,0,0,0
134,M,B,0,0,0,3
134,M,C,0,0,0,0
134,M,D,0,1,4,0
135,M,A,3,0,0,0
135,M,B,0,0,0,5
135,M,C,0,5,0,0
135,M,D,0,2,5,0
136,M,A,3,0,0,0
136,M,B,0,0,0,3
136,M,C,0,0,0,0
136,M,D,0,0,3,0
137,M,A,0,0,0,0
137,M,B,0,0,0,4
137,M,C,0,0,0,0
137,M,D,0,0,1,0
138,M,A,4,0,0,0
138,M,B,0,0,0,0
138,M,C,0,4,0,0
138,M,D,0,0,5,0
139,M,A,4,0,0,1
139,M,B,0,0,0,4
139,M,C,0,2,0,0
139,M,D,0,0,2,0
